"""Wagon Wheel""",Old Crow Medicine Show,"Country
Americana
folk
bluegrass",Nettwerk,,
"""Gangnam Style""",Psy,"K-pop[1][2]
dance-pop[3][4]","YG
Universal Republic
School Boy","Park Jae-Sang
Yoo Gun-hyung[5]","Park Jae-Sang
Yoo Gun-hyung
Yang Hyun-suk[6]"
"""I Need Your Love""",Calvin Harris,"Electro house
synthpop
dance-pop","Deconstruction
Fly Eye
Columbia","Calvin Harris
Ellie Goulding",Calvin Harris
"""Die Young""",Kesha,"Electropop
dance-pop","RCA, Kemosabe","Benjamin Levin, Henry Walter, Kesha Sebert, Lukasz Gottwald, Nate Ruess[2]","Dr. Luke, Cirkut, Benny Blanco"
"""Some Nights""",Fun,"Indie pop
Afrobeat",Fueled by Ramen/Atlantic,"Jeff Bhasker, Nate Ruess, Andrew Dost and Jack Antonoff",Jeff Bhasker
"""Bad""",Wale,"Hip hop, R&B","Maybach Music Group, Atlantic","Olubowale Akintimehin, Tiara Thomas","Kelson Camp, Tiara Thomas"
"""Boys 'Round Here""",Blake Shelton,"Bro-country
country rap",Warner Bros. Nashville,"Rhett Akins
Dallas Davidson
Craig Wiseman",Scott Hendricks
"""Gone, Gone, Gone""",Phillip Phillips,"Pop rock, folk rock",Interscope,"Derek Fuhrmann, Todd Clark, Gregg Wattenberg",Gregg Wattenberg
"""Demons""",Imagine Dragons,"Alternative rock
pop rock","KIDinaKORNER
Interscope","Ben McKee
Dan Platzman
Dan Reynolds
Wayne Sermon
Alexander Grant
Josh Mosser",Alex da Kid
"""Counting Stars""",OneRepublic,Folk,"Mosley
Interscope",Ryan Tedder,"Ryan Tedder
Noel Zancanella"
"""I Cry""",Flo Rida,,"Poe Boy
Atlantic","Alex Schwartz
Joe Khajadourian
Brenda Russell
Jeff Hull
Maarten Hoogstraten
Paul Bäumer
Pierre-Antoine Melki
Raphaël Judrin
Scott Cutler
Tramar Dillard","soFLY & Nius
The Futuristics"
"""Little Talks""",Of Monsters and Men,"Indie pop, indie folk",Universal Republic,"Nanna Bryndís Hilmarsdóttir
Ragnar Þórhallsson","Of Monsters And Men
Aron Þór Arnarsson"
"""The Other Side""",Jason Derulo,Dance-pop[1],Atlantic,"Jason Desrouleaux
Martin Johnson
Joshua Coleman",Ammo
"""Berzerk""",Eminem,"Hip hop, rap rock[1][2][3][4]","Aftermath
Shady
Interscope","Marshall Mathers
William Squier
Adam Horovitz
Adam Yauch
Michael Diamond
Rick Rubin
Joseph Modeliste
Arthur Neville
Cyril Neville
Felix Cartal
Roham
Vincent Brown
Anthony Criss
Keir Gist",Rick Rubin
"""Catch My Breath""",Kelly Clarkson,Electropop,RCA,"Kelly Clarkson, Jason Halbert, Eric Olson",Sound Kollectiv
"""Crash My Party""",Luke Bryan,Country,Capitol Nashville,"Rodney Clawson
Ashley Gorley",Jeff Stevens
"""Pour It Up""",Rihanna,"Club
trap","Def Jam
Roc Nation
SRP","Robyn Fenty
Michael ""Mike Will Made It"" Williams
Theron Thomas
Timothy Thomas
Justin Garner","Mike Will Made It
J-Bo"
"""22""",Taylor Swift,Pop[1],"Big Machine
Republic","Taylor Swift
Max Martin
Shellback","Max Martin
Shellback"
"""I Want Crazy""",Hunter Hayes,Country,Atlantic,"Hunter Hayes
Lori McKenna
Troy Verges","Dann Huff
Hunter Hayes"
"""The Fox (What Does the Fox Say?)""",Ylvis,"EDM
novelty[2]","Concorde TV
Parlophone
EMI Norway","Bård Ylvisåker
Vegard Ylvisåker
Christian Løchstøer
Tor Erik Hermansen
Mikkel S. Eriksen
Nicholas Boundy","Stargate
M4SONIC"
"""Best Song Ever""",One Direction,"Pop rock
power pop
teen pop","Syco
Columbia","Wayne Hector
John Ryan
Ed Drewett
Julian Bunetta","Julian Bunetta
John Ryan
Matt Rad"
"""The A Team""",Ed Sheeran,Indie folk,"Lava
Atlantic",Ed Sheeran,Jake Gosling
"""Carry On""",Fun,"Indie rock
baroque pop",Fueled by Ramen/Atlantic/Elektra,"Jeff Bhasker, Nate Ruess, Andrew Dost, Jack Antonoff",Jeff Bhasker
"""Highway Don't Care""",Tim McGraw,Country,Big Machine,"Mark Irwin
Josh Kear
Brad Warren
Brett Warren","Byron Gallimore
Tim McGraw"
"""That's My Kind of Night""",Luke Bryan,Bro-country,Capitol Nashville,"Dallas Davidson
Chris DeStefano
Ashley Gorley",Jeff Stevens
"""Swimming Pools (Drank)""",Kendrick Lamar,Conscious hip hop,"Top Dawg
Aftermath
Interscope","Kendrick Duckworth
Tyler Williams",T-Minus
"""Sure Be Cool If You Did""",Blake Shelton,Bro-country[1],Warner Bros. Nashville,"Rodney Clawson
Chris Tompkins
Jimmy Robbins",Scott Hendricks
"""#Beautiful""",Mariah Carey,"R&B
soul",Island,"Miguel Pimentel
Mariah Carey
Nathan Perez
Brook ""D’Leau"" Davis
Mac Robinson
Brian Keith Warfield","Miguel
Mariah Carey
Happy Perez
Brook ""D’Leau"" Davis"
"""Troublemaker""",Olly Murs,Pop,"Epic
Syco","Olly Murs
Steve Robson
Claude Kelly
Tramar Dillard",Steve Robson
"""Body Party""",Ciara,R&B,Epic,"Ciara Harris
Nayvadius ""Future"" Wilburn
Michael L. Williams II
Pierre Ramon Slaughter
Carlton Mahone
Rodney Terry","Mike Will Made It
P-Nasty
Ciara
Future"
"""Adorn""",Miguel,"R&B,[2] electro soul[3]",RCA,Miguel Pimentel,Miguel
"""Hall of Fame""",The Script,"Pop rock, hip hop","Epic, Phonogenic","Danny O'Donoghue, Mark Sheehan, James Barry","Danny O'Donoghue, Mark Sheehan, Jimbo Barry"
"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,"EDM
Europop
synthpop",Motown,"Mikkel S. Erkisen
Sia Furler
Mark Hadfield
Tor E. Hermansen
Mike Di Scala
Shaffer Smith","StarGate
Reeva & Black"
"""U.O.E.N.O.""",Rocko,Hip hop,A1,"Rodney Hill, William Roberts, Nayvadius Wilburn",Childish Major
"""Next to Me""",Emeli Sandé,"R&B
soul
gospel",Virgin,"Emeli Sandé
Hugo Chegwin
Harry Craze
Anup Paul","Craze & Hoax
Mojam Music (add. prod.)"
"""Mama's Broken Heart""",Miranda Lambert,"Country, country rock",RCA Nashville,"Brandy Clark
Shane McAnally
Kacey Musgraves","Frank Liddell
Glenn Worf
Chuck Ainlay"
"""It Goes Like This""",Thomas Rhett,Country,Valory Music Group,"Rhett Akins
Ben Hayslip
Jimmy Robbins",Michael Knox
"""Bugatti""",Ace Hood,Hip hop,"We the Best Music Group, Cash Money, Universal Republic","Antoine McColister, William Leonard Roberts II, Nayvadius Wilburn, Michael Williams",Mike WiLL Made It
"""Wanted""",Hunter Hayes,"Country
country pop",Atlantic,"Hunter Hayes
Troy Verges","Dann Huff
Hunter Hayes"
"""Downtown""",Lady Antebellum,"Country pop, pop",Capitol Nashville,"Luke Laird
Shane McAnally
Natalie Hemby","Paul Worley
Lady Antebellum"
"""Get Your Shine On""",Florida Georgia Line,Bro-country,Republic Nashville,"Tyler Hubbard
Brian Kelley
Rodney Clawson
Chris Tompkins",Joey Moi
"""#thatPower""",will.i.am,Club[1],"will.i.am Music
Interscope","William Adams
Damien Leroy
Justin Bieber","will.i.am
Damien Leroy"
"""Brave""",Sara Bareilles,"Pop, power pop",Epic,"Sara Bareilles, Jack Antonoff",Mark Endert
"""Let Her Go""",Passenger,"Country
folk rock","Embassy of Music
Black Crow
Sony (distribution)
Nettwerk",Mike Rosenberg,"Mike Rosenberg
Chris Vallejo"
"""Runnin' Outta Moonlight""",Randy Houser,Bro-country,Stoney Creek,"Dallas Davidson
Ashley Gorley
Kelley Lovelace",Derek George
"""I'm Different""",2 Chainz,Hip hop,Def Jam,"Tauheed Epps, Dijon McFarlene, Mike Dean, Sonny Uwaezuoke",DJ Mustard
"""Still Into You""",Paramore,"Power pop
pop rock
new wave",Fueled by Ramen,"Hayley Williams
Taylor York",Justin Meldal-Johnsen
"""Happy""",Pharrell Williams,"Soul
neo soul","Back Lot Music
i Am Other
Columbia",Pharrell Williams,Pharrell Williams
"""Dark Horse""",Katy Perry,"Trap
hip hop",Capitol,"Katy Perry
Jordan Houston
Lukasz Gottwald
Sarah Hudson
Max Martin
Henry Walter","Dr. Luke
Max Martin
Cirkut"
"""All of Me""",John Legend,"R&B
soul","GOOD
Columbia","John Stephens
Toby Gad","Dave Tozer
John Legend
Tiësto (remix only)"
"""Fancy""",Iggy Azalea,Electro-hop,"Def Jam
Virgin EMI","Amethyst Amelia Kelly
Charlotte Aitchison
George Astasio
Jason Pebworth
Jon Mills
Jonathan Christopher Shave
Kurtis McKenzie","The Invisible Men
The Arcade"
"""Counting Stars""",OneRepublic,Folk,"Mosley
Interscope",Ryan Tedder,"Ryan Tedder
Noel Zancanella"
"""Talk Dirty""",Jason Derulo,"Pop-rap[1]
R&B","Beluga Heights
Atlantic","Jason Desrouleaux
Tauheed Epps
Eric Frederic
Jason Evigan
Sean Douglas
Ori Kaplan
Tamir Muskat
Tomer Yosef",Ricky Reed
"""Rude""",Magic!,"Pop
reggae fusion","Latium
RCA
Sony Music","Nasri Atweh
Adam Messinger
Mark Pellizzer
Ben Spivak
Alex Tanas",Adam Messinger
"""All About That Bass""",Meghan Trainor,"Bubblegum pop
doo-wop",Epic,"Meghan Trainor
Kevin Kadish",Kadish
"""Problem""",Ariana Grande,"Dance-pop
R&B",Republic,"Max Martin
Savan Kotecha
Ilya Salmanzadeh
Amethyst Kelly
Ariana Grande[1]","Max Martin
Shellback
Ilya
Peter Carlsson"
"""Stay with Me""",Sam Smith,"Soul
gospel",Capitol,"Sam Smith
James Napier
William Phillips
Tom Petty
Jeff Lynne","Jimmy Napes
Steve Fitzmaurice
Rodney Jerkins (Darkchild version)"
"""Timber""",Pitbull,"Dance-pop
EDM
folktronica","Polo Grounds
RCA
Mr. 305","Kesha Sebert
Armando C. Pérez
Lukasz Gottwald
Aaron Davis Arnold
Priscilla Hamilton
Jamie Sanderson
Breyan Stanley Isaac
Henry Walter
Pebe Sebert
Lee Oskar
Keri Oskar
Greg Errico
Steve Arrington
Charles Carter
Waung Hankerson
Roger Parker[2]","Dr. Luke
Cirkut
Sermstyle"
"""Pompeii""",Bastille,"Indie rock
synthpop",Virgin,Dan Smith,"Dan Smith
Mark Crew"
"""Shake It Off""",Taylor Swift,Dance-pop,Big Machine,"Taylor Swift
Max Martin
Shellback","Max Martin
Shellback"
"""Am I Wrong""",Nico & Vinz,Pop,"5 Star Entertainment
EMI
Warner Bros.","William Wiik Larsen
Nico Sereba
Vincent Dery",William Wiik Larsen (IDAP Music)
"""Turn Down for What""",DJ Snake,"Trap
EDM",Columbia,DJ Snake,"Lil Jon
DJ Snake
Tchami"
"""The Monster""",Eminem,Hip hop,"Aftermath
Interscope
Shady","Marshall Mathers
Bryan Fryzel
Bebe Rexha
Aaron Kleinstub
M. Athanasiou
Robyn Fenty
Jon Bellion","Frequency
Aalias (co-prod.)"
"""Say Something""",A Great Big World,Indie pop,Epic,"Ian Axel
Chad King
Mike Campbell",Dan Romer
"""Say Something""",A Great Big World,Indie pop,Epic,"Ian Axel
Chad King
Mike Campbell",Dan Romer
"""Let Her Go""",Passenger,"Country
folk rock","Embassy of Music
Black Crow
Sony (distribution)
Nettwerk",Mike Rosenberg,"Mike Rosenberg
Chris Vallejo"
"""Royals""",Lorde,"Art pop
electropop","Lava
Republic
Universal
Virgin","Lorde
Joel Little",Joel Little
"""Let It Go""",'NoneType' object has no attribute 'next_siblings',,Walt Disney,,
"""Wake Me Up""",Avicii,"Progressive house[1]
soul[2]
folktronica[3]","PRMD
Lava
Columbia","Tim Bergling
Aloe Blacc
Mike Einziger
Melinda Marie Marantz
Aileen Marie Quinn","Avicii
Arash Pournouri
Mike Shinoda[4]"
"""Demons""",Imagine Dragons,"Alternative rock
pop rock","KIDinaKORNER
Interscope","Ben McKee
Dan Platzman
Dan Reynolds
Wayne Sermon
Alexander Grant
Josh Mosser",Alex da Kid
"""Story of My Life""",One Direction,Folk pop,,"Julian Bunetta
Jamie Scott
John Ryan
Louis Tomlinson
Liam Payne
Niall Horan
Harry Styles
Zayn Malik","Julian Bunetta
John Ryan"
"""Chandelier""",Sia,Electropop,"Inertia
Monkey Puzzle
RCA","Sia Furler
Jesse Shatkin","Greg Kurstin
Jesse Shatkin"
"""Black Widow""",Iggy Azalea,Trap,Def Jam,"Tor Erik Hermansen
Mikkel Storleer Eriksen
Benjamin Levin
Katy Perry
Sarah Hudson
Iggy Azalea","Stargate
Tim Blacksmith (exec.)
Danny D. (exec.)"
"""Bang Bang""",Jessie J,"Pop[1][2]
pop soul[2]","Lava
Republic","Max Martin
Savan Kotecha
Rickard Göransson
Onika Maraj","Max Martin
Rickard Göransson
Ilya"
"""Latch""",Disclosure,"Deep house
future garage
synthpop","PMR
Cherrytree
Interscope","James Napier
Howard Lawrence
Guy Lawrence
Sam Smith",Disclosure
"""Maps""",Maroon 5,Pop rock,Interscope,"Adam Levine
Ammar Malik
Ryan Tedder
Benjamin Levin
Noel Zancanella","Ryan Tedder
Benny Blanco
Noel Zancanella
Noah Passovoy"
"""Loyal""",Chris Brown,"R&B
hip hop",RCA,"Nicholas Balding
Mark Kragen
Christopher Brown
Tyrone Griffin, Jr.
Bobby Brackins
Bobby Ray Simmons, Jr.
Dwayne Carter
Karim Kharbouch
Stanley Cox
Omololu Akinlolu
Mason Betha
Sean Combs
Christopher Wallace
Todd Shaw
Asha Puthli
Deric Angelettie
Michael Stevenson
Jermaine Mauldin
Shawn Carter",Nic Nac
"""Best Day of My Life""",American Authors,"Indie rock, indie folk","Mercury, Island","Aaron Accetta, Zachary Barnett, Shep Goodman, David Rublin, Matthew Sanchez, James Shelley","Aaron Accetta, Shep Goodman"
"""Habits (Stay High)""",Tove Lo,"Pop
electropop","Island
Republic","Tove Lo
Ludvig Söderberg
Jakob Jerlström",The Struts
"""Summer""",Calvin Harris,"Electro house
dance-pop","Deconstruction
Fly Eye
Columbia",Calvin Harris,Calvin Harris
"""Boom Clap""",Charli XCX,Electropop,"Atlantic
Asylum
Neon Gold","Charlotte Aitchison
Fredrik Berger
Patrik Berger
Stefan Gräslund","Patrik Berger
Stefan Gräslund"
"""Drunk in Love""",Beyoncé,"R&B
trap","Parkwood
Columbia","Beyoncé Knowles
Noel Fisher
Shawn Carter
Nayvadius Wilburn
Andre Eric Proctor
Rasool Diaz
Jordan Asher
Brian Soko
Timothy Mosley
Jerome Harmon","Detail
Knowles
Timbaland
J-Roc
Boots
Soko"
"""Anaconda""",Nicki Minaj,"Hip hop
pop-rap[1]","Young Money
Cash Money
Republic","Onika Maraj
Jamal Jones
Jonathan Solone-Myvett
Ernest Clark
Marcos Palacios
Sir Mix-a-Lot","Polow da Don
Anonymous
Da Internz"
"""Break Free""",Ariana Grande,"EDM[1]
electro[2]",Republic,"Anton Zaslavski
Max Martin
Savan Kotecha","Zedd
Max Martin"
"""Bailando""",Enrique Iglesias,,Republic,"Enrique Iglesias
Descemer Bueno
Alexander Delgado
Randy Malcom Martinez",Carlos Paucar Sean Paul
"""Burn""",Ellie Goulding,Synthpop[1],Polydor,"Ryan Tedder
Ellie Goulding
Greg Kurstin
Noel Zancanella
Brent Kutzle",Greg Kurstin
"""Wiggle""",and,"Dance-pop,[1] dirty rap","Warner Music Group
Atlantic
Beluga Heights","Jason Desrouleaux
Eric Frederic
Axident
Jacob Kasher
Sean Douglas
John Ryan
Joe Spargur
Calvin Broadus","Ricky Reed
Axident
Honua Music
John Ryan[a]
Joe London[a]"
"""Rather Be""",Clean Bandit,"House
baroque pop
synthpop","WMG
Atlantic","Jack Patterson
James Napier
Nicole Marshall
Grace Chatto","Grace Chatto
Jack Patterson"
"""Don't Tell 'Em""",Jeremih,R&B,Def Jam,"Jeremih Felton
Mick Schultz
Dijon McFarlane
Keenon Jackson
Michael Münzing
Luca Anzilotti
Thea Austin","Schultz
DJ Mustard"
"""Show Me""",Kid Ink,"Hip hop, R&B","Tha Alumni Music Group
88 Classic
RCA Records","Brian Collins
Christian Jones
Chris Brown
Jeremih Felton
Dijon McFarlane
Mike Free
Allen George
Craig McFarlane",DJ Mustard
"""Wrecking Ball""",Miley Cyrus,Pop,RCA,"MoZella, Stephan Moccio, Sacha Skarbek, Kiyanu Kim, Lukasz Gottwald, and Henry Russell Walter","Dr. Luke
Cirkut"
"""Not a Bad Thing""",Justin Timberlake,Pop,RCA,"Justin Timberlake
Timothy Mosley
Jerome ""J-Roc"" Harmon
James Fauntleroy","Timbaland
Justin Timberlake
Jerome ""J-Roc"" Harmon"
"""Roar""",Katy Perry,Power pop,Capitol,"Katy Perry
Lukasz Gottwald
Max Martin
Bonnie McKee
Henry Walter","Dr. Luke
Max Martin
Cirkut"
"""Ain't It Fun""",Paramore,"Pop rock
funk rock
new wave
new jack swing","Fueled by Ramen
Warner Bros.","Hayley Williams
Taylor York",Justin Meldal-Johnsen
"""The Man""",Aloe Blacc,"soul
R&B",Interscope,"Egbert Dawkins III
Elton John
Bernie Taupin
Sam Barsh
Daniel Seeff
Khalil Abdul Rahman","DJ Khalil, Dontae Winslow"
"""This Is How We Roll""",Florida Georgia Line,Bro-country,Republic Nashville,"Tyler Hubbard
Brian Kelley
Cole Swindell
Luke Bryan",Joey Moi
"""Classic""",MKTO,"Pop
pop rap",Columbia,"Evan ""Kidd"" Bogart
Andrew Goldstein
Emanuel Kiriakou
Lindy Robbins","Emanuel Kiriakou
Evan Bogart[1]"
"""A Sky Full of Stars""",Coldplay,"EDM[1][2]
pop[3]",Parlophone,"Tim Bergling
Guy Berryman
Jonny Buckland
Will Champion
Chris Martin","Avicii
Coldplay
Paul Epworth
Daniel Green
Rik Simpson"
"""Don't""",Ed Sheeran,"West Coast hip hop
hip-hop soul
R&B","Asylum
Atlantic","Ed Sheeran
Benjamin Levin","Rick Rubin
Benny Blanco"
"""Na Na""",Trey Songz,"Hip hop soul
R&B","Songbook
Atlantic","Tremaine Neverson
Dijon McFarlane
Sam Hook
Mike Free",DJ Mustard
"""Hot Nigga""",Bobby Shmurda,"Gangsta rap
trap
East Coast hip hop","Epic Records
GS9",Bobby Shmurda,Jahlil Beats
"""Hold On, We're Going Home""",Drake,"R&B
synthpop[1]","OVO
Aspire
Young Money
Cash Money
Republic","Aubrey Graham
Noah Shebib
Majid Al Maskati
Jordan Ullman","Nineteen85
Majid Jordan
Noah ""40"" Shebib (add.)"
"""Sing""",Ed Sheeran,"Pop[1]
R&B[1][2]","Asylum
Atlantic","Ed Sheeran
Pharrell Williams",Pharrell Williams
"""Radioactive""",Imagine Dragons,"Electronic rock
industrial rock
alternative rock","KIDinaKORNER
Interscope","Melvyn Gonzalez
Alexander Grant
Ben McKee
Josh Mosser
Dan Platzman
Dan Reynolds
Wayne Sermon",Alex da Kid
"""My Nigga""",YG,Hip hop,"Pushaz Ink
CTE World
Def Jam","Keenon Jackson
Dijon McFarlane
Mikely Adam
Daniel Wall
Jay Jenkins
Dequantes Lamar
Calvin Broadus
Awood Johnson
Craig Lawson
Corey Miller","DJ Mustard
Adam"
"""Cool Kids""",Echosmith,"Indie pop
pop rock",Warner Bros.,"Echosmith
Jeffery David
Jesiah Dzwonek","Mike Elizondo
Rob Cavallo"
"""Hey Brother""",Avicii,"EDM
house
country pop
dance-pop","PRMD
Universal","Salem Al Fakir
Tim Bergling
Veronica Maggio
Vincent Pontare
Ash Pournouri
Dan Tyminski",Avicii
"""Trumpets""",Jason Derulo,Pop[2],Atlantic,"Jason Desrouleaux
Jon Bellion",Jon Bellion
"""Animals""",Maroon 5,New wave[1],Interscope,"Adam Levine
Shellback
Benjamin Levin",Shellback
"""Burnin' It Down""",Jason Aldean,"R&B
pop
bro-country
EDM",Broken Bow,"Rodney Clawson
Chris Tompkins
Tyler Hubbard
Brian Kelley",Michael Knox
"""Play It Again""",Luke Bryan,Bro-country[1],Capitol Nashville,"Dallas Davidson
Ashley Gorley",Jeff Stevens
"""2 On""",Tinashe,Electro-R&B,RCA,"Tinashe Kachingwe
Quincy Hanley
Bobby Brackins
Nathan L. Walker
Dijon McFarlane
Jon Redwine
DJ Marley Waters
Sean Henriques
Troy Rami","DJ Mustard
Redwine
DJ Marley Waters"
"""Dirt""",Florida Georgia Line,Country[2],Republic Nashville[2],"Rodney Clawson
Chris Tompkins[4]",Joey Moi[5]
"""Love Runs Out""",OneRepublic,Rock[1],"Mosley
Interscope","Ryan Tedder
Brent Kutzle
Drew Brown
Zach Filkins
Eddie Fisher",Ryan Tedder
"""Bottoms Up""",Brantley Gilbert,"Bro-country
rock",Valory Music Group,"Brantley Gilbert
Justin Weaver
Brett James",Dann Huff
"""Shower""",Becky G,"Teen pop
pop-rap","Kemosabe
RCA","Rebbeca Marie Gomez
Lukasz Gottwald
Henry Walter
Theron Thomas
Timothy Thomas","Dr. Luke
Cirkut"
"""Me and My Broken Heart""",Rixton,"Pop
reggae","School Boy
Giant Little Man
Mad Love
Geffen
Interscope","Benjamin Levin
Ammar Malik
Steve Mac
Wayne Hector
Rob Thomas","Benny Blanco
Steve Mac"
"""Animals""",Martin Garrix,Big room house[1],Spinnin',Martijn Garritsen,Martin Garrix
"""Lifestyle""",Rich Gang,Hip hop,"Cash Money
Republic","Bryan Williams
Jeffrey Williams
Dequantes Lamar
London Holmes",London on da Track
"""American Kids""",Kenny Chesney,Country,"Blue Chair
Columbia Nashville","Rodney Clawson
Luke Laird
Shane McAnally","Kenny Chesney
Buddy Cannon[1]"
"""Brave""",Sara Bareilles,"Pop, power pop",Epic,"Sara Bareilles, Jack Antonoff",Mark Endert
"""Sweater Weather""",The Neighbourhood,Indie pop,Columbia,"Jesse Rutherford, Zach Abels, Jeremy Freedman",Justyn Pilbrow
"""Leave the Night On""",Sam Hunt,Country[2],MCA Nashville,"Sam Hunt
Josh Osborne
Shane McAnally","Zach Crowell[3]
Shane McAnally"
"""New Flame""",Chris Brown,"R&B
hip hop
synthpop",RCA,"Chris Brown
Kenneth Rorery
Justin Booth Johnson
Keith Thomas
Mark Pitts
Eric Bellinger
William Roberts
Malissa Hunter
James Chambers
Maurice ""Verse"" Simmonds
Usher Raymond IV","Count Justice
Kenneth Rorery"
"""Love Never Felt So Good""",Michael Jackson,"Disco
soul",Epic,"Michael Jackson
Paul Anka[1]","Michael Jackson
John McClain (solo version)
Giorgio Tuinfort (solo version)
Paul Anka[2]
Timbaland (duet version)
Justin Timberlake (duet version)
Jerome ""J-Roc"" Harmon (duet version)"
"""Drunk on a Plane""",Dierks Bentley,Country,Capitol Nashville,"Dierks Bentley
Chris Tompkins
Josh Kear",Ross Copperman
"""Birthday""",Katy Perry,Disco,Capitol,"Katy Perry
Lukasz Gottwald
Max Martin
Bonnie McKee
Henry Walter","Dr. Luke
Max Martin
Cirkut"
"""Bartender""",Lady Antebellum,"Country pop
pop rock",Capitol Nashville,"Dave Haywood
Charles Kelley
Hillary Scott
Rodney Clawson","Nathan Chapman
Lady Antebellum"
"""La La La""",Naughty Boy,"UK garage[1]
R&B
dance-pop[2]","Naughty Boy
Virgin EMI
Capitol","Shahid ""Naughty Boy"" Khan
Al-Hakam El-Kaubaisy
Frobisher Mbabazi
Sam Smith
James Napier
James Murray
Mustafa Omer
Jonny Coffer","Naughty Boy
Komi
Mojam (co.)"
"""Blurred Lines""",Robin Thicke,"R&B
disco
funk","Star Trak
Interscope","Robin Thicke
Pharrell Williams
Clifford Harris, Jr.
Marvin Gaye1",Pharrell Williams
"""Do What U Want""",Lady Gaga,"Synthpop
R&B","Streamline
Interscope","Stefani Germanotta
Paul ""DJ White Shadow"" Blair
Robert Kelly
Martin Bresso
William Grigahcine","Blair
Lady Gaga"
"""Can't Remember to Forget You""",Shakira,"New wave
reggae rock","RCA
Sony Music Latin","John Hill
Tom Hull
Daniel Alexander
Erik Hassle
Shakira
Robyn Fenty","John Hill
Kid Harpoon
Shakira[1]"
"""Amnesia""",5 Seconds of Summer,Pop rock,"Capitol
Hi or Hey","Michael Biancaniello
Louis Biancaniello
Benji Madden
Joel Madden
Sam Watters","M. Biancaniello
L. Biancaniello
Watters"
"""No Mediocre""",T.I.,Hip hop,"Grand Hustle
Columbia Records","Clifford Harris, Jr.
Amethyst Kelly",DJ Mustard
"""Come with Me Now""",Kongos,"Alternative rock
kwaito[1]","Tokoloshe
Epic
Rock All Night Productions LLC",Johnny Kongos,Kongos
"""Believe Me""",Lil Wayne,Hip hop,"Young Money
Cash Money
Republic","Dwayne Carter
Aubrey Graham
Anderson Hernandez
Matthew Samuels

DAVON King Emanuel Brooks","Vinylz
Boi-1da"
"""23""",Mike WiLL Made-It,Hip hop,Interscope,"Michael Williams
Jordan Houston
Cameron Thomaz
Theron Thomas
Timothy Thomas
Pierre Ramon Slaughter[1]",Mike WiLL Made-It
"""Beachin'""",Jake Owen,"Bro-country
country rap",RCA Nashville,"Jaren Johnston
Jon Nite
Jimmy Robbins",Joey Moi
"""White Walls""",Macklemore & Ryan Lewis,Hip hop,"Macklemore LLC
Warner Bros.","Ben Haggerty
Ryan Lewis
Quincy Hanley
Hollis Wong-Wear",Ryan Lewis
"""She Looks So Perfect""",5 Seconds of Summer,"Pop punk
power pop
pop rock","Capitol
Hi or Hey","Ashton Irwin
Michael Clifford
Jake Sinclair","Jake Sinclair
Eric Valentine"
"""Stay the Night""",Zedd,"Electro house[1]
EDM[2]",Interscope,"Anton Zaslavski
Hayley Williams
Benjamin Eli Hanna
Carah Faye",Zedd
"""Partition""",Beyoncé,,Columbia,"Terius Nash
Beyoncé Knowles
Justin Timberlake
Timothy Mosley
Jerome Harmon
Dwane Weir
Mike Dean","Timbaland
Jerome Harmon
Justin Timberlake
Beyoncé Knowles
Dwane Weir
Mike Dean
Boots"
"""Studio""",Schoolboy Q,"Hip hop, R&B","Top Dawg, Interscope","Quincy Hanley, Bryan Sledge, Steve Thornton",Swiff D
"""0 to 100 / The Catch Up""",Drake,Hip hop,"OVO Sound
Aspire
Young Money
Cash Money
Republic","Aubrey Graham, Anderson Hernandez, Matthew Samuels, Noah Shebib, Paul Jefferies, Adam Feeney, Chester Hansen","Vinylz
Boi-1da
Noah ""40"" Shebib
Nineteen85
Frank Dukes
Chester Hansen"
"""I Don't Dance""",Lee Brice,Country,Curb,"Lee Brice
Rob Hatch
Dallas Davidson",Lee Brice
"""Somethin' Bad""",Miranda Lambert,Country rock,"RCA Nashville
Arista Nashville","Chris DeStefano
Brett James
Priscilla Renea","Frank Liddell
Chuck Ainlay
Glenn Worf"
"""Adore You""",Miley Cyrus,"Pop
R&B",RCA,"Stacy Barthe
Oren Yoel",Oren Yoel
